tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000000,cust_00000,True,Fri Jan 13 23:17:00 +0000 2023,@AppleSupport update to ios 16.2 and now my apps keep crashing constantly,1000001,
1000001,AppleSupport,False,Sat Jan 14 00:14:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000000
1000002,cust_00001,True,Mon Jan 16 02:13:00 +0000 2023,@AppleSupport why does my iPhone XS lose 20% battery in an hour just sitting there,1000003,
1000003,AppleSupport,False,Mon Jan 16 03:25:00 +0000 2023,Sorry to hear this! A few background app or settings checks can help here. Mind moving to DM so we can look into your device specifics?,,1000002
1000004,cust_00002,True,Sun Apr 23 14:37:00 +0000 2023,"@AppleSupport my kid made in app purchases without permission, can i get refunded",1000005,
1000005,AppleSupport,False,Sun Apr 23 15:07:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000004
1000006,cust_00003,True,Wed Feb 22 02:24:00 +0000 2023,"@AppleSupport locked out of my apple id, verification code never arrives",1000007,
1000007,AppleSupport,False,Wed Feb 22 03:35:00 +0000 2023,Sorry for the trouble. For account security we can't handle Apple ID specifics here -- please DM us so we can verify and assist further.,,1000006
1000008,cust_00004,True,Thu Jul 13 02:35:00 +0000 2023,"@AppleSupport my phone won't update past ios 17.1, keeps failing",1000009,
1000009,AppleSupport,False,Thu Jul 13 03:07:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000008
1000010,cust_00005,True,Fri Feb 10 07:55:00 +0000 2023,@AppleSupport ordered my iPhone SE 2 weeks ago and it still says preparing to ship,1000011,
1000011,AppleSupport,False,Fri Feb 10 08:43:00 +0000 2023,That's not the experience we want. Let's take a closer look -- can you send your order confirmation number in a DM?,,1000010
1000012,cust_00006,True,Sun Dec 10 08:44:00 +0000 2023,"@AppleSupport screen cracked, is it covered under applecare?",1000013,
1000013,AppleSupport,False,Sun Dec 10 10:08:00 +0000 2023,We'd recommend booking a check-in at your nearest Apple Store or starting a repair request online so we can assess coverage.,,1000012
1000014,cust_00007,True,Sun Apr 23 21:20:00 +0000 2023,shoutout to @AppleSupport for actually fixing my issue in 10 minutes,1000015,
1000015,AppleSupport,False,Sun Apr 23 22:35:00 +0000 2023,We're so glad we could help! Thanks for the kind words.,,1000014
1000016,cust_00008,True,Wed Apr 19 20:31:00 +0000 2023,"@AppleSupport someone else is using my apple id, how do i secure it",1000017,
1000017,AppleSupport,False,Wed Apr 19 21:42:00 +0000 2023,"Let's get your account secured. Please visit iforgot.apple.com to reset your password, or DM us if you're still stuck.",,1000016
1000018,cust_00009,True,Thu Jan 18 18:27:00 +0000 2024,"@AppleSupport estimated delivery keeps getting pushed back, what's going on",1000019,
1000019,AppleSupport,False,Thu Jan 18 18:36:00 +0000 2024,We can help look into that. Could you send us your order number via DM so we can check the latest status?,,1000018
1000020,cust_00010,True,Mon Mar 20 20:10:00 +0000 2023,@AppleSupport since the 17.0 update wifi keeps dropping every few minutes,1000021,
1000021,AppleSupport,False,Mon Mar 20 21:23:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000020
1000022,cust_00011,True,Fri Dec 15 23:07:00 +0000 2023,@AppleSupport is it normal for my iPhone 13 mini to get hot and lose battery this fast,1000023,
1000023,AppleSupport,False,Sat Dec 16 00:08:00 +0000 2023,"That doesn't sound right. Let's get this sorted -- which iOS version are you on, and does this happen with specific apps or all the time?",,1000022
1000024,cust_00012,True,Fri Jan 05 23:16:00 +0000 2024,@AppleSupport is it normal for my iPhone 12 Pro to get hot and lose battery this fast,1000025,
1000025,AppleSupport,False,Sat Jan 06 00:36:00 +0000 2024,Sorry to hear this! A few background app or settings checks can help here. Mind moving to DM so we can look into your device specifics?,,1000024
1000026,cust_00013,True,Mon Mar 20 11:48:00 +0000 2023,@AppleSupport how much would it cost to fix a cracked back glass on iPhone XS,1000027,
1000027,AppleSupport,False,Mon Mar 20 12:05:00 +0000 2023,A swollen battery should be looked at right away for safety. Please stop using the device and visit an Apple Store or Authorized Service Provider as soon as possible.,,1000026
1000028,cust_00014,True,Wed Jun 07 07:03:00 +0000 2023,@AppleSupport forgot my apple id password and the reset email isn't coming,1000029,
1000029,AppleSupport,False,Wed Jun 07 08:30:00 +0000 2023,"Let's get your account secured. Please visit iforgot.apple.com to reset your password, or DM us if you're still stuck.",,1000028
1000030,cust_00015,True,Mon Oct 09 05:16:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000031,
1000031,AppleSupport,False,Mon Oct 09 06:10:00 +0000 2023,"Check Settings > General > iPhone Storage for a breakdown by app, plus recommendations to free up space.",,1000030
1000032,cust_00016,True,Sun Aug 13 16:28:00 +0000 2023,"@AppleSupport locked out of my apple id, verification code never arrives",1000033,
1000033,AppleSupport,False,Sun Aug 13 17:00:00 +0000 2023,Sorry for the trouble. For account security we can't handle Apple ID specifics here -- please DM us so we can verify and assist further.,,1000032
1000034,cust_00017,True,Wed Jan 04 02:45:00 +0000 2023,"@AppleSupport screen cracked, is it covered under applecare?",1000035,
1000035,AppleSupport,False,Wed Jan 04 03:23:00 +0000 2023,This sounds like it needs a closer look by a technician. You can check your coverage and start a service request at getsupport.apple.com.,,1000034
1000036,cust_00018,True,Thu Apr 20 17:08:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000037,
1000037,AppleSupport,False,Thu Apr 20 18:35:00 +0000 2023,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000036
1000038,cust_00019,True,Sat Jul 01 13:26:00 +0000 2023,@AppleSupport billed for icloud storage i already cancelled,1000039,
